date,categoryName,payee,comment,createdDate,changedDate,outcomeAccountName,outcome,outcomeCurrencyShortTitle
2023-04-13,"Покупки: одежда, техника",Озон,Футболки и презервативы,2023-04-14 16:55:28,2023-04-14 13:55:33,Тинькофф,1077.0,RUB
2023-04-13,Кафе и рестораны / Кофейни,Автомат в арене,Кофе упал...,2023-04-14 16:57:13,2023-04-14 13:57:19,Тинькофф,100.0,RUB
2023-04-14,Кафе и рестораны,Столовая лицея,Вареники с вишней,2023-04-14 16:55:57,2023-04-14 13:56:00,Тинькофф,85.0,RUB
2023-04-14,Кафе и рестораны,Столовая лицея,,2023-04-14 16:56:12,2023-04-14 13:56:17,Тинькофф,95.0,RUB
2023-04-14,Кафе и рестораны,Surf coffee,,2023-04-14 18:27:40,2023-04-14 15:27:45,Тинькофф,289.0,RUB
2023-04-15,Продукты / Сладости,Столовая лицея,Кулич,2023-04-15 12:10:10,2023-04-15 09:10:19,Тинькофф,100.0,RUB
2023-04-15,Кафе и рестораны,Столовая лицея,,2023-04-15 17:19:12,2023-04-15 14:20:29,Тинькофф,180.0,RUB
2023-04-15,Кафе и рестораны / Кофейни,Surf coffee,,2023-04-15 20:58:17,2023-04-15 17:58:25,Тинькофф,299.0,RUB
2023-04-16,Здоровье и фитнес,Аптека,Таблетки сотрет,2023-04-16 12:37:19,2023-04-16 09:37:28,Тинькофф,2975.0,RUB
2023-04-16,Продукты / Сладости,"ООО ""Агроторг""",,2023-04-16 13:26:21,2023-04-16 10:26:31,Тинькофф,324.47,RUB
2023-04-16,Продукты,,Туалетная бумага,2023-04-16 14:09:14,2023-04-16 11:09:27,Тинькофф,66.66,RUB
2023-04-17,Кафе и рестораны,Столовая лицея,,2023-04-17 13:13:25,2023-04-17 10:13:48,Тинькофф,230.0,RUB
2023-04-17,Проезд,,,2023-04-17 16:54:28,2023-04-17 13:54:30,Тинькофф,28.0,RUB
2023-04-17,Продукты,Пятерочка,,2023-04-17 19:14:23,2023-04-17 16:14:49,Тинькофф,743.64,RUB
2023-04-18,Кафе и рестораны,Столовая лицея,,2023-04-18 12:41:41,2023-04-18 12:07:19,Тинькофф,120.0,RUB
2023-04-18,Продукты / Сладости,Пятерочка,,2023-04-18 15:08:00,2023-04-18 12:08:03,Тинькофф,124.98,RUB
2023-04-19,Кафе и рестораны,,Шаурма,2023-04-19 12:59:03,2023-04-19 09:59:05,Тинькофф,290.0,RUB
2023-04-19,"Платежи, комиссии / Оплата связи",,,2023-04-19 13:30:57,2023-04-19 10:31:08,Тинькофф,323.0,RUB
2023-04-19,"Платежи, комиссии / Подписки",,Яндекс плюс,2023-04-19 13:34:10,2023-04-19 10:34:26,Тинькофф,299.0,RUB
2023-04-20,Продукты / Сладости,"ООО ""Агроторг""",,2023-04-20 11:53:32,2023-04-20 08:53:45,Тинькофф,357.04,RUB
2023-04-20,Отдых и развлечения,"ООО ""РОБОКАССА""",Стендап Поперечного,2023-04-20 15:03:44,2023-04-20 16:03:03,Тинькофф,210.0,RUB
2023-04-20,Товары для дома,,Форма для выпекания,2023-04-20 19:05:33,2023-04-20 16:08:41,Тинькофф,199.0,RUB
2023-04-20,Здоровье и фитнес,Озон,Презервативы ,2023-04-20 19:07:54,2023-04-20 16:08:41,Тинькофф,250.0,RUB
2023-04-20,"Покупки: одежда, техника",Озон,Тапки,2023-04-20 19:08:33,2023-04-20 16:08:41,Тинькофф,475.0,RUB
2023-04-21,Кафе и рестораны,Столовая лицея,Обед,2023-04-21 12:28:49,2023-04-21 09:28:56,Тинькофф,160.0,RUB
2023-04-22,Проезд,,,2023-04-22 08:37:35,2023-04-22 05:37:39,Тинькофф,28.0,RUB
2023-04-22,Проезд,,,2023-04-22 14:45:16,2023-04-22 11:46:28,Тинькофф,28.0,RUB
2023-04-22,Забота о себе,,Стрижка,2023-04-22 14:45:36,2023-04-22 11:46:28,Тинькофф,1200.0,RUB
2023-04-22,Образование / Канцелярия,,,2023-04-22 14:57:58,2023-04-22 11:58:04,Тинькофф,107.4,RUB
2023-04-22,Проезд,,,2023-04-22 15:21:55,2023-04-22 12:22:01,Тинькофф,28.0,RUB
2023-04-22,Продукты,Магнит,,2023-04-22 17:56:40,2023-04-22 14:56:51,Тинькофф,179.98,RUB
2023-04-22,Продукты,,Чай,2023-04-22 17:58:21,2023-04-22 14:58:26,Тинькофф,122.0,RUB
2023-04-23,Кафе и рестораны,Столовая лицея,,2023-04-23 13:42:25,2023-04-23 10:42:30,Тинькофф,200.0,RUB
2023-04-23,Продукты / Сладости,Пятерочка,,2023-04-23 15:04:58,2023-04-23 12:05:05,Тинькофф,259.0,RUB
2023-04-23,Образование,Правое полушарие интроверта,,2023-04-23 18:26:14,2023-04-23 15:26:19,Тинькофф,299.0,RUB
2023-04-24,Кафе и рестораны,Столовая лицея,,2023-04-24 12:32:06,2023-04-24 09:32:28,Тинькофф,155.0,RUB
2023-04-24,Кафе и рестораны,,,2023-04-24 18:35:54,2023-04-24 15:36:00,Тинькофф,80.0,RUB
2023-04-24,Продукты / Сладости,"ООО ""Агроторг""",,2023-04-24 18:36:46,2023-04-24 15:36:51,Тинькофф,183.09,RUB
2023-04-25,Кафе и рестораны,Столовая лицея,,2023-04-25 17:11:59,2023-04-25 14:12:02,Тинькофф,195.0,RUB
2023-04-25,Продукты,"ООО ""Агроторг""",,2023-04-25 18:08:15,2023-04-25 15:08:32,Тинькофф,168.17,RUB
2023-04-26,Продукты,"ООО ""Агроторг""",,2023-04-26 18:44:03,2023-04-26 15:44:05,Тинькофф,600.19,RUB
2023-04-27,Кафе и рестораны / Кофейни,Автомат в арене,,2023-04-27 12:54:51,2023-04-27 09:54:52,Тинькофф,100.0,RUB
2023-04-27,Подарки,,Мороженка Нике,2023-04-27 17:12:01,2023-04-27 14:12:02,Тинькофф,200.0,RUB
2023-04-27,Продукты,"ООО ""Агроторг""",,2023-04-27 17:29:41,2023-04-27 14:29:42,Тинькофф,113.57,RUB
2023-04-28,Кафе и рестораны,Столовая лицея,,2023-04-28 12:35:32,2023-04-28 09:35:49,Тинькофф,180.0,RUB
2023-04-28,Кафе и рестораны,Столовая лицея,,2023-04-28 12:35:40,2023-04-28 14:32:08,Тинькофф,140.0,RUB
2023-04-28,Проезд,,,2023-04-28 17:32:26,2023-04-28 14:32:29,Тинькофф,28.0,RUB
2023-04-28,Продукты / Сладости,Пятерочка,,2023-04-28 19:09:44,2023-04-28 16:09:57,Тинькофф,488.41,RUB
2023-04-29,Проезд,,,2023-04-29 12:59:53,2023-04-29 10:00:05,Тинькофф,46.0,RUB
2023-04-29,Кафе и рестораны,ДоДо пицца,,2023-04-29 14:01:06,2023-04-29 11:01:07,Тинькофф,319.0,RUB
2023-04-29,Образование,,Пожертвование странной женщине за книжку,2023-04-29 14:35:40,2023-04-29 11:35:42,Тинькофф,200.0,RUB
