iter	MAE	Quantile:alpha=0.5
213	363.6560682	181.8280341
214	363.6210798	181.8105399
215	363.5519912	181.7759956
216	363.4801097	181.7400549
217	363.3566505	181.6783252
218	363.1415723	181.5707862
219	362.9684294	181.4842147
220	362.9183493	181.4591746
221	362.6983638	181.3491819
222	362.6281224	181.3140612
223	362.5089482	181.2544741
224	362.3691084	181.1845542
225	362.2765078	181.1382539
226	362.2091401	181.1045701
227	362.1341992	181.0670996
228	362.0458568	181.0229284
229	361.9807216	180.9903608
230	361.9087336	180.9543668
231	361.6082141	180.8041071
232	361.4846322	180.7423161
233	361.3471671	180.6735835
234	361.2636416	180.6318208
235	361.0180224	180.5090112
236	360.8651771	180.4325885
237	360.8245706	180.4122853
238	360.7201474	180.3600737
239	360.6352976	180.3176488
240	360.5240701	180.2620351
241	360.2029278	180.1014639
242	360.1417221	180.0708611
243	359.9382877	179.9691438
244	359.8823055	179.9411528
245	359.801547	179.9007735
246	359.6034195	179.8017097
247	359.5157881	179.757894
248	359.422944	179.711472
249	359.2751779	179.637589
250	359.1029686	179.5514843
251	359.0596849	179.5298424
252	358.9550816	179.4775408
253	358.8034072	179.4017036
254	358.7286163	179.3643081
255	358.6290296	179.3145148
256	358.3144414	179.1572207
257	358.2178973	179.1089487
258	358.1138772	179.0569386
259	357.9692419	178.984621
260	357.9171341	178.9585671
261	357.8359381	178.9179691
262	357.6789837	178.8394918
263	357.6057271	178.8028635
264	357.4833214	178.7416607
265	357.4170907	178.7085453
266	357.2853321	178.642666
267	357.1347006	178.5673503
268	356.9527545	178.4763773
269	356.9251229	178.4625615
270	356.8722608	178.4361304
271	356.7911174	178.3955587
272	356.7276725	178.3638363
273	356.6906218	178.3453109
274	356.5828286	178.2914143
275	356.5067315	178.2533657
276	356.4920673	178.2460337
277	356.3738306	178.1869153
278	356.0557377	178.0278688
279	356.0394854	178.0197427
280	355.9309512	177.9654756
281	355.8604635	177.9302318
282	355.6976933	177.8488467
283	355.6601795	177.8300898
284	355.5842337	177.7921168
285	355.5298076	177.7649038
286	355.492683	177.7463415
287	355.3535204	177.6767602
288	355.2975242	177.6487621
289	355.2614721	177.6307361
290	355.1851845	177.5925923
291	355.129447	177.5647235
292	355.0313971	177.5156986
293	354.9374496	177.4687248
294	354.7066415	177.3533207
295	354.5627189	177.2813595
296	354.5007122	177.2503561
297	354.3945911	177.1972956
298	354.3162935	177.1581467
299	354.2968027	177.1484014
300	354.2328622	177.1164311
301	354.2164884	177.1082442
302	354.0495005	177.0247503
303	354.0051257	177.0025629
304	353.988408	176.994204
305	353.9158242	176.9579121
306	353.8655863	176.9327931
307	353.6452426	176.8226213
308	353.5266	176.7633
309	353.4850674	176.7425337
310	353.3262453	176.6631226
311	353.2587525	176.6293763
312	353.2392821	176.6196411
313	353.1054929	176.5527465
314	353.0733317	176.5366658
315	352.9909881	176.4954941
316	352.9338987	176.4669494
317	352.8700957	176.4350478
318	352.8221869	176.4110935
319	352.7369672	176.3684836
320	352.6995225	176.3497612
321	352.6658094	176.3329047
322	352.5994846	176.2997423
323	352.572767	176.2863835
324	352.5295589	176.2647794
325	352.4492214	176.2246107
326	352.3480903	176.1740451
327	352.3230937	176.1615469
328	352.1056612	176.0528306
329	352.0394162	176.0197081
330	351.8989802	175.9494901
331	351.8640308	175.9320154
332	351.7029405	175.8514702
333	351.6400126	175.8200063
334	351.4560744	175.7280372
335	351.3723795	175.6861898
336	351.321462	175.660731
337	351.2094611	175.6047305
338	351.147596	175.573798
339	351.1001618	175.5500809
340	350.9266545	175.4633272
341	350.8628701	175.431435
342	350.805702	175.402851
343	350.7249607	175.3624804
344	350.5616874	175.2808437
345	350.531949	175.2659745
346	350.4773198	175.2386599
347	350.4064179	175.203209
348	350.3691108	175.1845554
349	350.3203591	175.1601796
350	350.2317094	175.1158547
351	350.1122188	175.0561094
352	350.0947158	175.0473579
353	350.0652701	175.0326351
354	349.8763077	174.9381539
355	349.8004667	174.9002333
356	349.6955347	174.8477674
357	349.6640331	174.8320165
358	349.6110775	174.8055387
359	349.5690487	174.7845243
360	349.5074321	174.753716
361	349.3661832	174.6830916
362	349.3357683	174.6678842
363	349.2976443	174.6488221
364	349.2703749	174.6351874
365	349.2643413	174.6321707
366	349.2139164	174.6069582
367	349.0870408	174.5435204
368	349.0017855	174.5008927
369	348.969656	174.484828
370	348.87572	174.43786
371	348.8232997	174.4116498
372	348.7558218	174.3779109
373	348.6412092	174.3206046
374	348.4328182	174.2164091
375	348.3691288	174.1845644
376	348.2827102	174.1413551
377	348.1234123	174.0617061
378	348.0404905	174.0202452
379	347.9901932	173.9950966
380	347.9542856	173.9771428
381	347.8487404	173.9243702
382	347.8279198	173.9139599
383	347.6554876	173.8277438
384	347.610669	173.8053345
385	347.5198211	173.7599105
386	347.4868999	173.74345
387	347.4745445	173.7372723
388	347.38574	173.69287
389	347.2724677	173.6362338
390	347.1844663	173.5922332
391	347.1182355	173.5591177
392	347.1010655	173.5505327
393	347.0126314	173.5063157
394	346.9712959	173.485648
395	346.9438364	173.4719182
396	346.9171442	173.4585721
397	346.8486526	173.4243263
398	346.8228954	173.4114477
399	346.7397152	173.3698576
400	346.7178866	173.3589433
401	346.7062374	173.3531187
402	346.6332249	173.3166125
403	346.5912508	173.2956254
404	346.4950501	173.247525
405	346.4270644	173.2135322
406	346.3993193	173.1996596
407	346.3148247	173.1574124
408	346.2330981	173.1165491
409	346.1963063	173.0981531
410	346.1321767	173.0660884
411	346.0641765	173.0320882
412	346.0206166	173.0103083
413	345.9840145	172.9920072
414	345.9494745	172.9747372
415	345.9055426	172.9527713
416	345.8628289	172.9314144
417	345.7688904	172.8844452
418	345.7071801	172.85359
419	345.6183778	172.8091889
420	345.5535944	172.7767972
421	345.5415219	172.770761
422	345.4357723	172.7178861
423	345.3721021	172.686051
424	345.2859937	172.6429969
425	345.2185695	172.6092847
426	345.147487	172.5737435
427	345.0739224	172.5369612
428	345.0266256	172.5133128
429	344.9195309	172.4597654
430	344.8755709	172.4377855
431	344.8214225	172.4107112
432	344.7434583	172.3717291
433	344.7080263	172.3540132
434	344.6725572	172.3362786
435	344.6216109	172.3108054
436	344.5419263	172.2709632
437	344.4791356	172.2395678
438	344.3862651	172.1931325
439	344.341497	172.1707485
440	344.2405409	172.1202704
441	344.2057506	172.1028753
442	344.1525513	172.0762757
443	344.0619466	172.0309733
444	343.7782671	171.8891336
445	343.7441774	171.8720887
446	343.672827	171.8364135
447	343.625495	171.8127475
448	343.5895759	171.7947879
449	343.4997584	171.7498792
450	343.3495607	171.6747803
451	343.3046231	171.6523116
452	343.2576482	171.6288241
453	343.2479765	171.6239882
454	343.1828633	171.5914316
455	343.1568336	171.5784168
456	343.0334934	171.5167467
457	342.9511182	171.4755591
458	342.8915674	171.4457837
459	342.7825388	171.3912694
460	342.7676823	171.3838412
461	342.7027238	171.3513619
462	342.5641349	171.2820674
463	342.534397	171.2671985
464	342.5276717	171.2638359
465	342.4384089	171.2192045
466	342.3965374	171.1982687
467	342.3601144	171.1800572
468	342.3295913	171.1647956
469	342.2783648	171.1391824
470	342.2635248	171.1317624
471	342.2285751	171.1142875
472	342.1617985	171.0808992
473	341.9405482	170.9702741
474	341.9110935	170.9555467
475	341.8104359	170.9052179
476	341.6642308	170.8321154
477	341.6081968	170.8040984
478	341.5788116	170.7894058
479	341.5597208	170.7798604
480	341.5027673	170.7513837
481	341.3510251	170.6755125
482	341.3134711	170.6567356
483	341.2736287	170.6368144
484	341.1367615	170.5683808
485	341.1242258	170.5621129
486	341.047846	170.523923
487	340.9967241	170.498362
488	340.9452435	170.4726218
489	340.8918912	170.4459456
490	340.8744377	170.4372188
491	340.8157627	170.4078814
492	340.7974029	170.3987014
493	340.7686626	170.3843313
494	340.728504	170.364252
495	340.7106164	170.3553082
496	340.6086325	170.3043162
497	340.5723123	170.2861561
498	340.5579829	170.2789914
499	340.5236144	170.2618072
500	340.4328494	170.2164247
501	340.4101635	170.2050817
502	340.3642067	170.1821034
503	340.3157901	170.157895
504	340.2444118	170.1222059
505	340.2423528	170.1211764
506	340.2038963	170.1019482
507	340.1569343	170.0784672
508	340.1445266	170.0722633
509	340.1311767	170.0655883
510	340.0927282	170.0463641
511	339.9917052	169.9958526
512	339.8796555	169.9398277
513	339.8149471	169.9074736
514	339.7928309	169.8964154
515	339.7614522	169.8807261
516	339.7208235	169.8604117
517	339.6835242	169.8417621
518	339.635973	169.8179865
519	339.5563321	169.778166
520	339.4493245	169.7246623
521	339.3910778	169.6955389
522	339.2572133	169.6286067
523	339.2374772	169.6187386
524	339.1990263	169.5995132
525	339.1381227	169.5690614
526	339.1235768	169.5617884
527	339.0543098	169.5271549
528	338.9958912	169.4979456
529	338.9613743	169.4806872
530	338.9123008	169.4561504
531	338.8610615	169.4305308
532	338.7951569	169.3975784
533	338.7309201	169.36546
534	338.6890345	169.3445172
535	338.6486357	169.3243179
536	338.5530772	169.2765386
537	338.5426736	169.2713368
538	338.508812	169.254406
539	338.4818268	169.2409134
540	338.428156	169.214078
541	338.3894408	169.1947204
542	338.3755178	169.1877589
543	338.3323457	169.1661729
544	338.295022	169.147511
545	338.2238761	169.1119381
546	338.087686	169.043843
547	338.0502202	169.0251101
548	337.992293	168.9961465
549	337.9354336	168.9677168
550	337.8065552	168.9032776
551	337.754687	168.8773435
552	337.7109776	168.8554888
553	337.5650205	168.7825103
554	337.4778349	168.7389175
555	337.3161349	168.6580675
556	337.2958524	168.6479262
557	337.2610506	168.6305253
558	337.1788117	168.5894059
559	337.1611011	168.5805505
560	337.0374883	168.5187442
561	336.9806746	168.4903373
562	336.9188777	168.4594388
563	336.8449954	168.4224977
564	336.8080422	168.4040211
565	336.7345606	168.3672803
566	336.6724207	168.3362104
567	336.6393469	168.3196735
568	336.5990248	168.2995124
569	336.5422784	168.2711392
570	336.4344543	168.2172271
571	336.3787054	168.1893527
572	336.3517822	168.1758911
573	336.344707	168.1723535
574	336.3214373	168.1607186
575	336.2726352	168.1363176
576	336.2425198	168.1212599
577	336.2179107	168.1089554
578	336.1733743	168.0866871
579	336.0551465	168.0275732
580	336.0542191	168.0271095
581	335.9795822	167.9897911
582	335.8803225	167.9401612
583	335.7905719	167.8952859
584	335.5609936	167.7804968
585	335.5186282	167.7593141
586	335.4566824	167.7283412
587	335.4359652	167.7179826
588	335.3939195	167.6969598
589	335.3180911	167.6590456
590	335.2872056	167.6436028
591	335.2546708	167.6273354
592	335.2354029	167.6177015
593	335.2061485	167.6030742
594	335.180516	167.590258
595	335.1579522	167.5789761
596	335.1097731	167.5548865
597	335.045702	167.522851
598	334.9476339	167.473817
599	334.9469288	167.4734644
600	334.8508773	167.4254386
601	334.80191	167.400955
602	334.7697497	167.3848749
603	334.7553291	167.3776646
604	334.6562855	167.3281427
605	334.5741886	167.2870943
606	334.4620386	167.2310193
607	334.4065931	167.2032966
608	334.3812257	167.1906128
609	334.3403439	167.170172
610	334.3154168	167.1577084
611	334.2236259	167.111813
612	334.194519	167.0972595
613	334.1420823	167.0710411
614	333.9909289	166.9954645
615	333.9591513	166.9795756
616	333.8320728	166.9160364
617	333.7927931	166.8963965
618	333.6585795	166.8292898
619	333.6067601	166.80338
620	333.4631497	166.7315748
621	333.403286	166.701643
622	333.3714904	166.6857452
623	333.317685	166.6588425
624	333.2626977	166.6313488
625	333.2125515	166.6062757
626	333.1716804	166.5858402
627	332.9786129	166.4893065
628	332.8882078	166.4441039
629	332.777656	166.388828
630	332.7014174	166.3507087
631	332.5898933	166.2949466
632	332.530704	166.265352
633	332.481335	166.2406675
634	332.4328532	166.2164266
635	332.4180627	166.2090313
636	332.362325	166.1811625
637	332.3546608	166.1773304
638	332.3129073	166.1564536
639	332.2931963	166.1465981
640	332.2801763	166.1400882
641	332.2204066	166.1102033
642	332.1602017	166.0801008
643	332.0821667	166.0410833
644	332.0618822	166.0309411
645	332.0214678	166.0107339
646	331.9521118	165.9760559
647	331.8635549	165.9317774
648	331.8460852	165.9230426
649	331.7126931	165.8563466
650	331.6335104	165.8167552
651	331.5197159	165.759858
652	331.4176029	165.7088014
653	331.2764888	165.6382444
654	331.2178377	165.6089188
655	331.1532186	165.5766093
656	331.0829763	165.5414881
657	331.050166	165.525083
658	330.9988292	165.4994146
659	330.9891393	165.4945696
660	330.8856778	165.4428389
661	330.671021	165.3355105
662	330.6009102	165.3004551
663	330.3667373	165.1833687
664	330.3011759	165.1505879
665	330.0100756	165.0050378
666	329.9044808	164.9522404
667	329.808923	164.9044615
668	329.7533963	164.8766982
669	329.6969513	164.8484757
670	329.6613764	164.8306882
671	329.5758967	164.7879484
672	329.2809759	164.6404879
673	329.1880686	164.5940343
674	329.1140445	164.5570223
675	329.0141649	164.5070824
676	328.9227855	164.4613927
677	328.8391683	164.4195842
678	328.7587148	164.3793574
679	328.6572514	164.3286257
680	328.5136403	164.2568202
681	328.4515963	164.2257982
682	328.3324623	164.1662312
683	328.261116	164.130558
684	328.1838244	164.0919122
685	327.9225523	163.9612761
686	327.851281	163.9256405
687	327.7319464	163.8659732
688	327.656137	163.8280685
689	327.5735331	163.7867665
690	327.5588352	163.7794176
691	327.4792398	163.7396199
692	327.4619982	163.7309991
693	327.4210359	163.7105179
694	327.3435941	163.671797
695	327.3055586	163.6527793
696	327.2013765	163.6006882
697	327.1896672	163.5948336
698	327.1257004	163.5628502
699	327.0961837	163.5480918
700	326.9602232	163.4801116
701	326.6273434	163.3136717
702	326.5569886	163.2784943
703	326.4794497	163.2397249
704	326.3734942	163.1867471
705	326.3083306	163.1541653
706	326.2710502	163.1355251
707	326.2134361	163.1067181
708	326.173393	163.0866965
709	326.1440881	163.0720441
710	326.0739652	163.0369826
711	325.9435641	162.971782
712	325.8708293	162.9354146
713	325.7784116	162.8892058
714	325.7102196	162.8551098
715	325.5717595	162.7858797
716	325.4768907	162.7384454
717	325.2882026	162.6441013
718	325.2367452	162.6183726
719	325.0833858	162.5416929
720	325.0497999	162.5248999
721	324.9895346	162.4947673
722	324.892317	162.4461585
723	324.8016255	162.4008127
724	324.7809499	162.390475
725	324.7337484	162.3668742
726	324.4637593	162.2318797
727	324.4226537	162.2113268
728	324.3757153	162.1878577
729	324.3017315	162.1508657
730	324.2507047	162.1253523
731	324.1440277	162.0720138
732	324.0152234	162.0076117
733	323.9469146	161.9734573
734	323.8645492	161.9322746
735	323.8008819	161.900441
736	323.7784975	161.8892487
737	323.7189499	161.8594749
738	323.6824579	161.841229
739	323.5682781	161.7841391
740	323.5041141	161.7520571
741	323.4556026	161.7278013
742	323.4249499	161.7124749
743	323.2348493	161.6174247
744	323.1779733	161.5889867
745	323.150715	161.5753575
746	323.0821434	161.5410717
747	323.0203716	161.5101858
748	322.9875517	161.4937759
749	322.943279	161.4716395
750	322.8531131	161.4265565
751	322.792482	161.396241
752	322.7315901	161.3657951
753	322.6564025	161.3282012
754	322.639161	161.3195805
755	322.5090994	161.2545497
756	322.4465749	161.2232874
757	322.378038	161.189019
758	322.317723	161.1588615
759	322.18617	161.093085
760	322.1661701	161.083085
761	322.1101106	161.0550553
762	322.0476254	161.0238127
763	321.9654985	160.9827492
764	321.9264109	160.9632054
765	321.8758885	160.9379442
766	321.8147835	160.9073917
767	321.7806324	160.8903162
768	321.7382243	160.8691121
769	321.5106536	160.7553268
770	321.4505558	160.7252779
771	321.3531326	160.6765663
772	321.3211878	160.6605939
773	321.1827038	160.5913519
774	321.0859753	160.5429876
775	320.9979671	160.4989836
776	320.9535999	160.4768
777	320.880823	160.4404115
778	320.7817661	160.3908831
779	320.6776288	160.3388144
780	320.5820649	160.2910325
781	320.5374429	160.2687215
782	320.5102326	160.2551163
783	320.4297794	160.2148897
784	320.3697676	160.1848838
785	320.334046	160.167023
786	320.2257094	160.1128547
787	320.2146689	160.1073344
788	320.1917057	160.0958529
789	320.1746998	160.0873499
790	320.1150982	160.0575491
791	320.0846869	160.0423434
792	320.0213485	160.0106742
793	319.9930163	159.9965081
794	319.9708761	159.985438
795	319.8956095	159.9478047
796	319.8432809	159.9216404
797	319.7775392	159.8887696
798	319.7326747	159.8663373
799	319.6941148	159.8470574
800	319.662432	159.831216
801	319.6328798	159.8164399
802	319.6110927	159.8055463
803	319.5662636	159.7831318
804	319.4784058	159.7392029
805	319.4134736	159.7067368
806	319.3766239	159.688312
807	319.2127677	159.6063838
808	319.1680847	159.5840424
809	319.1265237	159.5632618
810	319.0976336	159.5488168
811	319.0602608	159.5301304
812	318.9985073	159.4992536
813	318.9661766	159.4830883
814	318.8868998	159.4434499
815	318.7902687	159.3951343
816	318.6711021	159.3355511
817	318.6562683	159.3281342
818	318.5516347	159.2758173
819	318.4959515	159.2479758
820	318.390037	159.1950185
821	318.3513141	159.175657
822	318.3273054	159.1636527
823	318.2451492	159.1225746
824	318.1991685	159.0995842
825	318.1648703	159.0824351
826	318.1144729	159.0572365
827	317.9746743	158.9873372
828	317.9453643	158.9726822
829	317.9141343	158.9570671
830	317.8584378	158.9292189
831	317.8379372	158.9189686
832	317.7745577	158.8872789
833	317.7095146	158.8547573
834	317.6353738	158.8176869
835	317.5744915	158.7872458
836	317.5206338	158.7603169
837	317.4915056	158.7457528
838	317.4168952	158.7084476
839	317.3892289	158.6946144
840	317.3641589	158.6820795
841	317.2305941	158.615297
842	317.1766587	158.5883294
843	317.0941584	158.5470792
844	317.0691537	158.5345769
845	317.0508695	158.5254348
846	316.8634032	158.4317016
847	316.8061113	158.4030556
848	316.6839653	158.3419827
849	316.5619387	158.2809693
850	316.5373254	158.2686627
851	316.5189874	158.2594937
852	316.4623951	158.2311976
853	316.3541458	158.1770729
854	316.328901	158.1644505
855	316.2502823	158.1251412
856	315.9790412	157.9895206
857	315.9627593	157.9813797
858	315.8549493	157.9274747
859	315.788683	157.8943415
860	315.7210543	157.8605272
861	315.6331135	157.8165568
862	315.567362	157.783681
863	315.515302	157.757651
864	315.4591042	157.7295521
865	315.4247394	157.7123697
866	315.3563227	157.6781614
867	315.2797164	157.6398582
868	315.1990215	157.5995108
869	315.1539484	157.5769742
870	315.0999626	157.5499813
871	315.072656	157.536328
872	315.028975	157.5144875
873	315.0067185	157.5033593
874	314.8899263	157.4449631
875	314.8242708	157.4121354
876	314.7545351	157.3772675
877	314.7183266	157.3591633
878	314.6314658	157.3157329
879	314.5483622	157.2741811
880	314.4146969	157.2073485
881	314.307741	157.1538705
882	314.1707343	157.0853671
883	314.0868445	157.0434222
884	314.0580076	157.0290038
885	314.0335065	157.0167532
886	313.9648381	156.9824191
887	313.8940401	156.9470201
888	313.8406106	156.9203053
889	313.8058978	156.9029489
890	313.7174639	156.858732
891	313.7115735	156.8557868
892	313.6006122	156.8003061
893	313.5554896	156.7777448
894	313.535246	156.767623
895	313.4275561	156.7137781
896	313.3827371	156.6913686
897	313.3564529	156.6782264
898	313.1248727	156.5624363
899	312.9760698	156.4880349
900	312.8478523	156.4239262
901	312.7519134	156.3759567
902	312.6211939	156.3105969
903	312.5709309	156.2854655
904	312.5507342	156.2753671
905	312.5116808	156.2558404
906	312.4948154	156.2474077
907	312.4411044	156.2205522
908	312.3884735	156.1942368
909	312.3697771	156.1848885
910	312.2734914	156.1367457
911	312.2324081	156.116204
912	312.1896255	156.0948128
913	312.1464778	156.0732389
914	312.0940177	156.0470088
915	312.0355287	156.0177644
916	312.0047741	156.002387
917	311.8871104	155.9435552
918	311.7381242	155.8690621
919	311.7095373	155.8547686
920	311.6324731	155.8162366
921	311.5829504	155.7914752
922	311.5529685	155.7764842
923	311.465747	155.7328735
924	311.3739488	155.6869744
925	311.3338689	155.6669344
926	311.280208	155.640104
927	311.253249	155.6266245
928	311.1359697	155.5679849
929	310.9592638	155.4796319
930	310.8997226	155.4498613
931	310.8702193	155.4351096
932	310.6368755	155.3184377
933	310.6064501	155.303225
934	310.5220865	155.2610432
935	310.4660312	155.2330156
936	310.4266062	155.2133031
937	310.3492778	155.1746389
938	310.3182485	155.1591242
939	310.2847459	155.142373
940	310.2142255	155.1071127
941	310.1892689	155.0946345
942	310.1221743	155.0610872
943	310.0420135	155.0210068
944	310.0113244	155.0056622
945	309.9552179	154.9776089
946	309.9358146	154.9679073
947	309.9067087	154.9533543
948	309.868427	154.9342135
949	309.802677	154.9013385
950	309.7678307	154.8839153
951	309.6905661	154.845283
952	309.6599155	154.8299578
953	309.6327613	154.8163807
954	309.562596	154.781298
955	309.5290911	154.7645456
956	309.5109046	154.7554523
957	309.4745457	154.7372729
958	309.3796089	154.6898045
959	309.2945754	154.6472877
960	309.2380874	154.6190437
961	309.1600432	154.5800216
962	309.1035035	154.5517517
963	309.0564501	154.5282251
964	309.0139817	154.5069908
965	308.9562617	154.4781308
966	308.7802122	154.3901061
967	308.6818036	154.3409018
968	308.6217975	154.3108987
969	308.4301234	154.2150617
970	308.3783699	154.1891849
971	308.3324475	154.1662238
972	308.3097079	154.154854
973	308.2083448	154.1041724
974	308.091288	154.045644
975	308.0365141	154.0182571
976	307.9449306	153.9724653
977	307.8677009	153.9338505
978	307.7385001	153.86925
979	307.6469127	153.8234564
980	307.62195	153.810975
981	307.59577	153.797885
982	307.5647555	153.7823778
983	307.5226524	153.7613262
984	307.4443609	153.7221805
985	307.3829646	153.6914823
986	307.3630666	153.6815333
987	307.273513	153.6367565
988	307.1967426	153.5983713
989	307.172086	153.586043
990	307.1559108	153.5779554
991	307.1247145	153.5623572
992	307.0324989	153.5162494
993	307.0002989	153.5001495
994	306.9289833	153.4644917
995	306.8847026	153.4423513
996	306.8604504	153.4302252
997	306.838009	153.4190045
998	306.7661256	153.3830628
999	306.712429	153.3562145
1000	306.6253169	153.3126584
1001	306.5205514	153.2602757
1002	306.4580589	153.2290294
1003	306.4385399	153.21927
1004	306.3612179	153.180609
1005	306.3448787	153.1724394
1006	306.3053745	153.1526873
1007	306.2034264	153.1017132
1008	306.1611662	153.0805831
1009	305.9732245	152.9866122
